FundingOrgName,LeadROName,ProjectReference,ProjectCategory,PISurname,PIFirstName,PIOtherNames,Title,StartDate,EndDate,AwardPounds,ExpenditurePounds,FundingOrgId,LeadROId,PIId,ProjectId,GTRProjectUrl
STFC,University of Bristol,ST/K005642/1,Research Grant,Teanby,Nicholas,Arran,"Microseismometer for InSight: Phase B, FY2012-13",01/10/2012,31/03/2013,10899,,D7F4F462-0518-4784-908A-D12633C139B3,FD94FDDE-5BBC-4E12-911F-0B70DBCFA743,CEB448AB-8561-4877-99AF-E799B501E88E,04D6290F-68B6-47AC-8D60-00796E01532E,http://gtr.rcuk.ac.uk:80/project/04D6290F-68B6-47AC-8D60-00796E01532E
STFC,Imperial College London,ST/I00078X/1,Research Grant,Bland,Philip,Alan,Operation of the UK Desert Fireball Network,01/05/2011,30/04/2012,130886,,D7F4F462-0518-4784-908A-D12633C139B3,46387D84-F71E-4B7D-8C7D-9C288F113510,2E9510B5-C66A-4C87-9D82-5CD5C34F0724,6687CB42-CA17-4335-A472-032C7AE198C3,http://gtr.rcuk.ac.uk:80/project/6687CB42-CA17-4335-A472-032C7AE198C3
STFC,University of Oxford,ST/M001490/1,Research Grant,Harnew,Neville,,STFC Consolidated Grant Supplement (Travel and Consumables),01/10/2012,31/03/2014,28626,,D7F4F462-0518-4784-908A-D12633C139B3,3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9,13A0475A-5269-4BE8-A0F2-E65D5A6AEADB,67A20B37-C5D0-49DA-81F4-01DBBA4D5BC9,http://gtr.rcuk.ac.uk:80/project/67A20B37-C5D0-49DA-81F4-01DBBA4D5BC9
STFC,University College London,PP/E006515/1,Fellowship,Fortes,Andrew Dominic,,EXPERIMENTAL AND COMPUTATIONAL STUDIES OF PLANETARY ICES AND THEIR ROLE IN THE THERMAL EVOLUTION OF ICY MOONS,01/10/2007,30/09/2012,419463,,D7F4F462-0518-4784-908A-D12633C139B3,3A5E126D-C175-4730-9B7B-E6D8CF447F83,221AE16C-3B78-4C56-A09F-7A4FC3EA56FC,7D07AE0D-B866-4B9D-BC42-0106EC0D4824,http://gtr.rcuk.ac.uk:80/project/7D07AE0D-B866-4B9D-BC42-0106EC0D4824
STFC,University of Liverpool,ST/M004570/1,Research Grant,Welsch,Carsten,Peter,AWAKE-UK Bridging,01/10/2014,30/09/2015,43712,,D7F4F462-0518-4784-908A-D12633C139B3,A0A585E0-6B0D-4643-A3A6-47943B4CBFEF,8FD47762-2767-465F-9B45-54A8CCB41913,0B226359-27E5-4F2E-B6E0-0A9C0801A17A,http://gtr.rcuk.ac.uk:80/project/0B226359-27E5-4F2E-B6E0-0A9C0801A17A
STFC,University of Bristol,ST/M007715/1,Research Grant,Elliott,Timothy,,Research into planetary formation at Bristol,01/04/2015,31/03/2018,737824,,D7F4F462-0518-4784-908A-D12633C139B3,FD94FDDE-5BBC-4E12-911F-0B70DBCFA743,E40511E1-50D3-4DE1-A669-980AA5B458CF,2F9CAA53-AADE-46C0-862F-09672E88DC96,http://gtr.rcuk.ac.uk:80/project/2F9CAA53-AADE-46C0-862F-09672E88DC96
STFC,Imperial College London,ST/J004812/1,Research Grant,Clements,David,,Continued support for the Herschel Mission,01/07/2012,31/07/2013,204820,,D7F4F462-0518-4784-908A-D12633C139B3,46387D84-F71E-4B7D-8C7D-9C288F113510,7BFDE2BE-5409-4B3C-9B9F-AC6A3ABB69D8,31FCEC23-C87C-4D24-891B-0CE7E0B0D885,http://gtr.rcuk.ac.uk:80/project/31FCEC23-C87C-4D24-891B-0CE7E0B0D885
STFC,University of Edinburgh,ST/L005832/1,Research Grant,Woods,Philip J,,Edinburgh Nuclear Physics Group Consolidated Grant Proposal - Equipment,01/08/2014,31/03/2015,14550,,D7F4F462-0518-4784-908A-D12633C139B3,F0F2AC58-F3D5-4F25-8E51-6AF679C5EBFA,EF16BC5E-635F-4830-AD19-56F2BAFB776D,0E8090A0-F25C-4D6D-B77E-0A387D2A8446,http://gtr.rcuk.ac.uk:80/project/0E8090A0-F25C-4D6D-B77E-0A387D2A8446
STFC,The University of Manchester,ST/L000040/1,Research Grant,Missous,Mohamed,,HIGH RESOLUTION 2D MAGNETIC VISION- B-Cam,01/11/2013,31/10/2016,364692,,D7F4F462-0518-4784-908A-D12633C139B3,E5AFE7E4-FF5D-4FF1-B50B-E04A6DF7D791,4937B690-5FCE-4F25-9CFE-22A3FC301478,0F64D9CF-B22A-43A7-9BDE-0CF0C884FEF9,http://gtr.rcuk.ac.uk:80/project/0F64D9CF-B22A-43A7-9BDE-0CF0C884FEF9
STFC,University of Cambridge,ST/J005673/1,Research Grant,Shellard,Edward,Paul,DiRAC SMP Facility: Revealing the Structure of the Universe,01/04/2012,31/12/2012,1799380,,D7F4F462-0518-4784-908A-D12633C139B3,D1774113-D5D2-4B7C-A412-66A90FE4B96F,BA21117A-B90C-4487-A5B0-3DA7C679D492,DF353F9C-FE1A-4845-A25E-004F75E4E5A8,http://gtr.rcuk.ac.uk:80/project/DF353F9C-FE1A-4845-A25E-004F75E4E5A8
